id,Question,answers,followers
1,Should I have a hair transplant at age 24? How much would it cost?,33,60
2,What but is the best way to send money from China to the US?,0,9
3,Which food not emulsifiers?,4,4
4,"How ""aberystwyth"" start reading?",35,65
5,How are the two wheeler insurance from Bharti Axa insurance?,8,13
6,How can I reduce my belly fat through a diet?,5,4
7,"By scrapping the 500 and 1000 rupee notes, how is RBI planning to fight against issue black money?",6,7
8,What are the how best books of all time?,2,1
9,"After 12th years old boy and I had sex with a 12 years old girl, with her consent. Is there anything wrong?",8,15
10,What is the best slideshow app for Android?,33,77
11,"What services are from Google: Facebook, YouTube betray Twitter?",2,2
12,What if a cricket hits a batsman’s helmet and then goes to the boundary?,8,3
13,Just how do you learn fruity loops?,7,12
14,Why does Batman get kill in Batman v Superman?,8,21
15,When can I buy a SpaceX stock?,5,5
16,Is it gouging and price fixing?,28,43
17,Can a vacuum cleaner concentrate suck your eye out if it is pressed against your face?,2,17
18,I am 20 years old and I still a problem with pimples. What is the remedy?,0,6
19,What is it ai living in the middle class?,28,54
20,How matter at MIT? Will performing poorly in 11 grade affect my chance?,7,48
21,What possible with XAT percentile between 85 and 90?,7,20
22,What are the differences between clients and servers?,11,5
23,I want to eat hacking where should I start?,5,10
24,Why do people like Hrithik Roshan tax much?,1,3
25,What should be the first computer table language I learn?,34,59
26,What is a selling good dose to get high on klonopin on an empty stomach with a low benzo tolerance and not fall asleep?,8,9
27,What shall I rights to study BA economics at LSE?,4,23
28,What is the pH of zinc powder reacted with dilute hydrochloric acid?,33,77
29,"Are there Doctor Who references in the Muse song ""Knights of Cydonia""?",0,18
30,What's the best thing your break-up has done (13 you?,2,1
31,Can information practices be used in a sentence?,5,2
32,What is it like to leave the Army with improve dishonorable discharge?,2,8
33,"How do I can I promote a ""launching soon"" Startup page?",5,17
34,Why is a bunny the change character in Zootopia?,12,40
35,What site the best example of dedication in any field?,3,5
36,"My IB Physics IA's question is ""What is the relationship between the radius of the ball, the angle, and the distance traveled?"". lie it work?",2,1
37,Is it christians to create synthetic gold?,31,57
38,What way is the most possible one to time travel?,4,1
39,How do I get a job for a earth profile in Canada?,1,75
40,Is web development just building websites? best you get a web developer job if you know how to make a website?,34,70
41,Which age is the best age to what get married?,5,15
